original, produced, theorylemma
2, 2, TRUE
4, 4, TRUE
8, 3, FALSE
8, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
2, 2, TRUE
4, 4, TRUE
3, 3, FALSE
3, 3, FALSE
3, 3, FALSE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
1, 2, TRUE
3, 3, TRUE
4, 4, TRUE
4, 4, TRUE
5, 5, TRUE
6, 6, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
5, 5, TRUE
6, 6, TRUE
2, 2, TRUE
1, 2, TRUE
5, 5, TRUE
6, 6, TRUE
2, 2, TRUE
1, 2, TRUE
5, 5, TRUE
6, 6, TRUE
2, 2, TRUE
1, 2, TRUE
3, 3, TRUE
4, 4, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
1, 2, TRUE
5, 5, TRUE
6, 6, TRUE
6, 4, TRUE
2, 2, TRUE
1, 2, TRUE
3, 3, TRUE
4, 4, TRUE
2, 2, TRUE
1, 2, TRUE
5, 5, TRUE
6, 6, TRUE
2, 2, TRUE
1, 2, TRUE
5, 5, TRUE
6, 6, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
3, 3, TRUE
3, 3, TRUE
4, 4, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
4, 4, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
2, 2, TRUE
3, 4, FALSE
4, 4, FALSE
4, 4, FALSE
4, 4, FALSE
4, 4, FALSE
4, 4, FALSE
4, 4, FALSE
4, 4, FALSE
4, 4, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
4, 4, TRUE
6, 4, FALSE
4, 4, FALSE
4, 4, FALSE
9, 4, FALSE
4, 4, FALSE
2, 2, TRUE
1, 2, TRUE
3, 3, TRUE
4, 4, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
4, 4, TRUE
4, 4, TRUE
2, 2, TRUE
2, 2, TRUE
6, 3, FALSE
3, 3, FALSE
3, 3, FALSE
3, 3, FALSE
3, 3, FALSE
3, 3, FALSE
6, 4, FALSE
4, 4, FALSE
3, 3, FALSE
3, 3, FALSE
3, 3, FALSE
2, 2, TRUE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, FALSE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
4, 4, TRUE
3, 3, FALSE
3, 4, FALSE
3, 3, FALSE
4, 4, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
3, 3, TRUE
2, 2, TRUE
4, 4, TRUE
3, 3, TRUE
4, 4, TRUE
5, 3, FALSE
3, 3, FALSE
3, 3, FALSE
4, 4, TRUE
4, 4, TRUE
2, 2, TRUE
2, 2, TRUE
4, 4, TRUE
5, 5, TRUE
6, 6, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
4, 4, TRUE
2, 2, TRUE
4, 4, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
4, 4, TRUE
10, 4, FALSE
10, 3, FALSE
10, 4, FALSE
3, 3, FALSE
3, 3, FALSE
3, 3, FALSE
4, 4, TRUE
4, 4, TRUE
4, 4, TRUE
4, 4, TRUE
4, 4, TRUE
4, 4, TRUE
2, 2, TRUE
1, 2, TRUE
3, 3, TRUE
4, 4, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
2, 2, TRUE
4, 4, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
2, 2, TRUE
1, 2, TRUE
2, 2, TRUE
3, 3, TRUE
4, 4, TRUE
2, 2, TRUE
2, 2, TRUE
