original, proofTree, origSize, pTsize 
6,6, 5, 5
5,5, 1, 1
2,2, 3, 3
2,2, 1, 1
4,4, 5, 5
3,3, 3, 3
2,2, 1, 1
2,2, 1, 1
15,13, 48, 25
16,13, 44, 25
16,13, 41, 23
16,14, 36, 23
15,13, 31, 19
15,13, 28, 15
15,13, 24, 13
16,13, 21, 13
16,15, 16, 9
15,15, 11, 7
15,15, 7, 5
13,13, 1, 1
3,3, 5, 3
4,3, 3, 3
2,1, 1, 1
3,3, 1, 1
1,1, 3, 1
2,1, 1, 1
4,4, 5, 3
1,1, 3, 1
2,1, 1, 1
2,2, 5, 3
1,1, 3, 1
2,1, 1, 1
2,2, 1, 1
17,15, 58, 41
18,16, 55, 39
19,17, 53, 37
20,18, 51, 35
21,19, 50, 33
21,19, 47, 31
21,19, 45, 29
22,20, 42, 25
22,20, 39, 23
23,20, 36, 23
23,20, 31, 23
22,21, 29, 19
21,19, 23, 13
21,21, 18, 13
21,21, 14, 11
18,18, 9, 7
18,18, 5, 5
11,11, 1, 1
8,8, 3, 3
8,8, 1, 1
4,4, 5, 3
1,1, 3, 1
2,1, 1, 1
4,4, 5, 5
4,4, 5, 3
5,4, 3, 3
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
15,14, 50, 31
16,14, 43, 31
17,15, 40, 29
18,16, 38, 27
18,16, 36, 25
19,17, 34, 23
20,18, 31, 21
17,15, 25, 17
16,14, 23, 15
13,11, 17, 9
11,10, 11, 7
11,11, 9, 7
11,11, 5, 5
8,8, 1, 1
4,4, 3, 3
4,4, 1, 1
1,1, 3, 1
2,1, 1, 1
2,2, 1, 1
4,4, 5, 3
1,1, 3, 1
2,1, 1, 1
4,4, 1, 1
5,5, 5, 5
2,2, 1, 1
4,4, 5, 3
1,1, 3, 1
2,1, 1, 1
4,4, 1, 1
1,1, 3, 1
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
9,9, 26, 23
10,10, 24, 21
11,10, 22, 21
12,12, 20, 17
13,12, 17, 17
12,12, 15, 13
9,9, 9, 7
10,10, 5, 5
7,7, 1, 1
4,4, 3, 3
4,4, 1, 1
15,14, 50, 31
16,14, 43, 31
17,15, 40, 29
18,16, 38, 27
18,16, 36, 25
19,17, 34, 23
20,18, 31, 21
17,15, 25, 17
16,14, 23, 15
13,11, 17, 9
11,10, 11, 7
11,11, 9, 7
11,11, 5, 5
8,8, 1, 1
4,4, 3, 3
4,4, 1, 1
5,5, 5, 5
4,4, 5, 3
1,1, 3, 1
2,1, 1, 1
17,15, 58, 43
18,16, 55, 39
19,17, 53, 37
20,18, 51, 35
21,19, 50, 33
21,19, 48, 31
21,19, 45, 29
22,20, 42, 25
22,20, 39, 23
23,20, 36, 23
23,20, 31, 23
22,21, 29, 19
21,19, 23, 13
21,21, 18, 13
21,21, 14, 11
18,18, 9, 7
18,18, 5, 5
11,11, 1, 1
8,8, 3, 3
8,8, 1, 1
4,4, 5, 5
2,2, 1, 1
4,4, 5, 3
5,4, 3, 3
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
9,9, 26, 19
10,9, 24, 19
11,11, 22, 15
12,12, 20, 13
13,13, 17, 11
12,12, 15, 9
9,9, 9, 7
10,10, 5, 5
6,6, 1, 1
5,5, 3, 3
5,5, 1, 1
1,1, 3, 1
2,1, 1, 1
1,1, 3, 1
2,1, 1, 1
9,8, 20, 7
9,8, 17, 5
9,8, 13, 5
7,6, 7, 3
7,7, 5, 3
7,7, 1, 1
1,1, 3, 1
2,1, 1, 1
3,3, 3, 3
3,3, 1, 1
1,1, 1, 1
4,4, 5, 5
4,4, 3, 3
4,4, 1, 1
1,1, 1, 1
12,12, 22, 15
12,12, 19, 13
13,13, 15, 11
13,13, 11, 9
9,9, 7, 5
8,8, 1, 1
9,7, 21, 7
9,7, 17, 5
9,7, 13, 5
7,6, 7, 3
7,7, 5, 3
7,7, 1, 1
6,6, 8, 5
6,6, 5, 3
